event,model,parameter,replicate,half_sample_size,split_normalized_wasserstein_1
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,99,9599,0.007919089990962452
GW240525_031210,C00:IMRPhenomXPNR,chirp_mass,100,9599,0.003852820680570675
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,1,9535,0.008718876351473302
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,2,9535,0.00606302699181954
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,3,9535,0.0032948976138189676
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,4,9535,0.006123243569256538
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,5,9535,0.00725930706640984
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,6,9535,0.005590694750513283
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,7,9535,0.015221295207155108
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,8,9535,0.003728990013319524
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,9,9535,0.0036719466962007066
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,10,9535,0.004190715282353444
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,11,9535,0.005447410930088794
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,12,9535,0.007062429888813333
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,13,9535,0.009565002331060987
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,14,9535,0.004718087430311198
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,15,9535,0.007498964775493677
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,16,9535,0.0035849603521409855
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,17,9535,0.003917719855168695
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,18,9535,0.0032208786000742324
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,19,9535,0.0039672764731131
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,20,9535,0.009875808478725313
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,21,9535,0.005571208069018477
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,22,9535,0.0059875681375143345
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,23,9535,0.0037221125822990034
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,24,9535,0.0066814960570706385
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,25,9535,0.005187566484437826
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,26,9535,0.005368912383530665
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,27,9535,0.0029040833666612036
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,28,9535,0.006397294101357148
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,29,9535,0.003204383817838877
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,30,9535,0.004619087986644415
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,31,9535,0.005039224105068149
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,32,9535,0.004491311443982029
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,33,9535,0.003765848883220884
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,34,9535,0.005163077270070382
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,35,9535,0.0073971486795547416
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,36,9535,0.003229228135187881
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,37,9535,0.004392825391034156
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,38,9535,0.0025869231352121484
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,39,9535,0.003307831001766743
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,40,9535,0.0037164156120573387
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,41,9535,0.00898712659005945
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,42,9535,0.005100427892557229
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,43,9535,0.003777357872114335
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,44,9535,0.005523483712662136
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,45,9535,0.0047566331961875
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,46,9535,0.004009491603832466
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,47,9535,0.0064278784538304
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,48,9535,0.0027530630097608822
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,49,9535,0.0036791165534780694
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,50,9535,0.006660117657406334
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,51,9535,0.0078100079642236505
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,52,9535,0.008572638354835377
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,53,9535,0.006529932548230266
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,54,9535,0.012297616667961177
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,55,9535,0.003270451251510317
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,56,9535,0.005209762638659363
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,57,9535,0.004250932483570714
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,58,9535,0.006597921898227719
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,59,9535,0.007878642941854122
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,60,9535,0.005880336754721406
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,61,9535,0.0037719159571538907
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,62,9535,0.006026591638852783
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,63,9535,0.005855990867099558
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,64,9535,0.007453550965441472
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,65,9535,0.00451342686550797
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,66,9535,0.006926649856879076
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,67,9535,0.004714532381000106
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,68,9535,0.005016479795206047
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,69,9535,0.007303537362241932
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,70,9535,0.012804645732062001
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,71,9535,0.0037628488497842474
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,72,9535,0.006620686053839167
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,73,9535,0.0052640359819696725
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,74,9535,0.008698815745384746
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,75,9535,0.0030326868849216474
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,76,9535,0.0034829603060123637
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,77,9535,0.005129725593990389
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,78,9535,0.005402167702295919
GW240525_031210,C00:IMRPhenomXPHM-SpinTaylor,mass_ratio,79,9535,0.004595374696051952
